code,interlevel,location,original,
12811015,Bgy,Macayepyep,TRUE,
12811016,Bgy,Marcos,TRUE,
12811016,Bgy,Marcos (Pob.),FALSE,
12811017,Bgy,Nagpatayan,TRUE,
12811018,Bgy,Valdez,TRUE,
12811019,Bgy,Sinamar,TRUE,
12811020,Bgy,Tabtabagan,TRUE,
12811021,Bgy,Valenciano (Pob.),FALSE,
12811021,Bgy,Valenciano,TRUE,
12811022,Bgy,Binacag,TRUE,
12812000,City,LAOAG,TRUE,
12812001,Bgy,Apaya,FALSE,
12812001,Bgy,"Bgy. No. 42, Apaya",TRUE,
12812001,Bgy,Bgy. No. 42,FALSE,
12812002,Bgy,Bgy. No. 36,FALSE,
12812002,Bgy,Araniw,FALSE,
12812002,Bgy,"Bgy. No. 36, Araniw",TRUE,
12812003,Bgy,"Bgy. No. 56-A, Bacsil North",TRUE,
12812003,Bgy,Bgy. No. 56-A,FALSE,
12812003,Bgy,Bacsil North,FALSE,
12812004,Bgy,Bgy. No. 56-B,FALSE,
12812004,Bgy,"Bgy. No. 56-B, Bacsil South",TRUE,
12812004,Bgy,Bacsil South,FALSE,
12812005,Bgy,Bgy. No. 41,FALSE,
12812005,Bgy,Balacad,FALSE,
12812005,Bgy,"Bgy. No. 41, Balacad",TRUE,
12812006,Bgy,Bgy. No. 40,FALSE,
12812006,Bgy,Balatong,FALSE,
12812006,Bgy,"Bgy. No. 40, Balatong",TRUE,
12812007,Bgy,"Bgy. No. 55-A, Barit-Pandan",TRUE,
12812007,Bgy,Barit-Pandan,FALSE,
12812007,Bgy,Bgy. No. 55-A,FALSE,
12812008,Bgy,Bengcag,FALSE,
12812008,Bgy,Bgy. No. 47,FALSE,
12812008,Bgy,"Bgy. No. 47, Bengcag",TRUE,
12812009,Bgy,Bgy. No. 50,FALSE,
12812009,Bgy,Buttong,FALSE,
12812009,Bgy,"Bgy. No. 50, Buttong",TRUE,
12812010,Bgy,Bgy. No. 60-A,FALSE,
12812010,Bgy,Caaoacan,FALSE,
12812010,Bgy,"Bgy. No. 60-A, Caaoacan",TRUE,
12812011,Bgy,Cabungaan North,FALSE,
12812011,Bgy,"Bry. No. 48-A, Cabungaan North",TRUE,
12812011,Bgy,Bry. No. 48-A,FALSE,
12812012,Bgy,Bgy. No. 48-B,FALSE,
12812012,Bgy,Cabungaan South,FALSE,
12812012,Bgy,"Bgy. No. 48-B, Cabungaan South",TRUE,
12812013,Bgy,"Bgy. No. 37, Calayab",TRUE,
12812013,Bgy,Bgy. No. 37,FALSE,
12812013,Bgy,Calayab,FALSE,
12812014,Bgy,"Bgy. No. 54-B, Camangaan",TRUE,
12812014,Bgy,Bgy. No. 54-B,FALSE,
12812014,Bgy,Camangaan,FALSE,
12812015,Bgy,Casili,FALSE,
12812015,Bgy,"Bgy. No. 58, Casili",TRUE,
12812015,Bgy,Bgy. No. 58,FALSE,
12812016,Bgy,Bgy. No. 61,FALSE,
12812016,Bgy,Cataban,FALSE,
12812016,Bgy,"Bgy. No. 61, Cataban",TRUE,
12812017,Bgy,"Bgy. No. 43, Cavit",TRUE,
12812017,Bgy,Bgy. No. 43,FALSE,
12812017,Bgy,Cavit,FALSE,
12812019,Bgy,Darayday,FALSE,
12812019,Bgy,"Bgy. No. 49-A, Darayday",TRUE,
12812019,Bgy,Bgy. No. 49-A,FALSE,
12812020,Bgy,Bgy. No. 59-B,FALSE,
12812020,Bgy,Dibua North,FALSE,
12812020,Bgy,"Bgy. No. 59-B, Dibua North",TRUE,
12812021,Bgy,"Bgy. No. 59-A, Dibua South",TRUE,
12812021,Bgy,Bgy. No. 59-A,FALSE,
12812021,Bgy,Dibua South,FALSE,
12812022,Bgy,Bgy. No. 34-B,FALSE,
12812022,Bgy,"Bgy. No. 34-B, Gabu Norte East",TRUE,
12812022,Bgy,Gabu Norte East,FALSE,
12812023,Bgy,Bgy. No. 34-A,FALSE,
12812023,Bgy,Gabu Norte West,FALSE,
12812023,Bgy,"Bgy. No. 34-A, Gabu Norte West",TRUE,
12812024,Bgy,Bgy. No. 35,FALSE,
12812024,Bgy,Gabu Sur,FALSE,
12812024,Bgy,"Bgy. No. 35, Gabu Sur",TRUE,
12812026,Bgy,Bgy. No. 32-C,FALSE,
12812026,Bgy,La Paz East,FALSE,
12812026,Bgy,Bgy. No. 32-C La Paz East,TRUE,
12812027,Bgy,"Bgy. No. 33-B, La Paz Proper",TRUE,
12812027,Bgy,Bgy. No. 33-B,FALSE,
12812027,Bgy,La Paz Proper,FALSE,
12812028,Bgy,Bgy. No. 32-B,FALSE,
12812028,Bgy,La Paz West,FALSE,
12812028,Bgy,"Bgy. No. 32-B, La Paz West",TRUE,
12812029,Bgy,Bgy. No. 54-A,FALSE,
12812029,Bgy,Lagui-Sail,FALSE,
12812029,Bgy,"Bgy. No. 54-A, Lagui-Sail",TRUE,
12812030,Bgy,"Bgy. No. 32-A, La Paz East",TRUE,
12812030,Bgy,Bgy. No. 32-A,FALSE,
12812030,Bgy,La Paz East,FALSE,
12812031,Bgy,Bgy. No. 33-A,FALSE,
12812031,Bgy,La Paz Proper,FALSE,
12812031,Bgy,"Bgy. No. 33-A, La Paz Proper",TRUE,
12812032,Bgy,Bgy. No. 52-B,FALSE,
12812032,Bgy,Lataag,FALSE,
12812032,Bgy,"Bgy. No. 52-B, Lataag",TRUE,
12812033,Bgy,"Bgy. No. 60-B, Madiladig",TRUE,
12812033,Bgy,Bgy. No. 60-B,FALSE,
12812033,Bgy,Madiladig,FALSE,
